post_id,title,category,score,num_comments,author,collected_at
47672295,Every GPU That Mattered,technology,328,202,jonbaer,2026-04-09 09:50:35
47697679,I built a tool to let you export your X bookmarks and categorize them,entertainment,15,7,xarchive,2026-04-09 09:50:37
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,54,18,zdw,2026-04-09 09:50:38
47680124,IPv6 is the only way forward,worldnews,99,297,quaintdev,2026-04-09 09:50:40
47664836,AI helps add 10k more photos to OldNYC,technology,142,50,evakhoury,2026-04-09 09:50:41
47696210,AMD AI director says Claude Code is becoming dumber and lazier since update,technology,45,11,Logans_Run,2026-04-09 09:50:42
47694093,"One item purchased, ten emails",technology,122,94,speckx,2026-04-09 09:50:43
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,283,66,frasermarlow,2026-04-09 09:50:44
47675625,Cloudflare targets 2029 for full post-quantum security,technology,380,112,ilreb,2026-04-09 09:50:44
47701013,Largest Dutch pension fund cuts ties with controversial tech firm Palantir,technology,6,0,doener,2026-04-09 09:50:46
47691174,Show HN: Explore the Silk Roads through an interactive map,entertainment,47,6,intofarlands,2026-04-09 09:50:47
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,113,26,rryan,2026-04-09 09:50:48
47654629,The Harvard Library Passport,sports,40,15,fi-le,2026-04-09 09:50:48
47695647,The AI Great Leap Forward,technology,99,48,jodah,2026-04-09 09:50:49
47693407,Show HN: 500k+ events/sec transformations for ClickHouse ingestion,entertainment,12,3,super_ar,2026-04-09 09:50:49
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,224,27,MediaSquirrel,2026-04-09 09:50:50
47627217,Running out of disk space in production,science,218,127,romes,2026-04-09 09:50:52
47672778,Breaking the console: a brief history of video game security,sports,95,26,sprado,2026-04-09 09:50:56
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,121,19,ductionist,2026-04-09 09:50:58
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,162,31,intofarlands,2026-04-09 09:50:59
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,464,197,MattHart88,2026-04-09 09:51:07
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,115,32,noone_youknow,2026-04-09 09:51:10
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,100,17,Sean-Der,2026-04-09 09:51:11
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,537,163,akyuu,2026-04-09 09:51:15
47637828,Show HN: Tusk for macOS and Gnome,entertainment,120,47,factorialboy,2026-04-09 09:51:16
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,323,160,Bender,2026-04-09 09:51:16
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,246,201,Zm44,2026-04-09 09:51:17
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,entertainment,28,12,ashish004,2026-04-09 09:51:21
47695616,YouTube starts showing 90-second unskippable ads to TV viewers,entertainment,26,17,Brajeshwar,2026-04-09 09:51:22
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,307,192,keepamovin,2026-04-09 09:51:26
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,27,1,ibobev,2026-04-09 09:51:27
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,317,90,player_piano,2026-04-09 09:51:30
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,66,12,4RH1T3CT0R,2026-04-09 09:51:32
47660853,Book review: There Is No Antimemetics Division,entertainment,279,226,ibobev,2026-04-09 09:51:33
47650502,Computational Physics (2nd Edition) (2025),science,184,22,teleforce,2026-04-09 09:51:35
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,320,201,nevernothing,2026-04-09 09:51:38
47637377,LÖVE: 2D Game Framework for Lua,sports,414,215,cl3misch,2026-04-09 09:51:41
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,56,0,tosh,2026-04-09 09:51:43
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,34,22,beardyw,2026-04-09 09:51:44
47683613,ICE acknowledges it is using powerful spyware,worldnews,67,8,dnemmers,2026-04-09 09:51:44
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,30,11,brene,2026-04-09 09:51:48
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,976,620,zaikunzhang,2026-04-09 09:51:50
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,100,28,mohshomis,2026-04-09 09:51:52
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-09 09:51:55
47693799,Food shock is inevitable due to the Iran war,worldnews,13,2,measurablefunc,2026-04-09 09:51:59
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-09 09:52:06
47691409,Reproducibility and robustness of economics and political science research,science,5,0,lamename,2026-04-09 09:52:24
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,16,4,f_allwein,2026-04-09 09:52:27
47694522,"With Orion still flying, NASA is nearing key decisions about Artemis III",science,9,2,LorenDB,2026-04-09 09:52:36
47648404,My Google Workspace account suspension,science,369,221,zenincognito,2026-04-09 09:52:44
47629485,A case study in testing with 100+ Claude agents in parallel,science,67,54,thejash,2026-04-09 09:52:53
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,222,148,pseudolus,2026-04-09 09:52:59
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-09 09:53:00
47691869,Façade (2005 Video Game),sports,5,0,jjmarr,2026-04-09 09:53:01
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,62,angst,2026-04-09 09:53:12
47686058,Inside a huge compound where 10k workers scammed people globally,worldnews,8,0,ece,2026-04-09 09:53:13
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-09 09:53:24
47667008,Show HN: I built a site that turns your Steam gaming hours into a RL skill tree,sports,8,9,naorz,2026-04-09 09:53:29
47680611,"Iranian hackers launching disruptive attacks at U.S. energy, water targets [pdf]",worldnews,32,6,lschueller,2026-04-09 09:53:31
47675835,Wireless Festival cancelled after government stops Kanye West entering UK,worldnews,13,1,manarth,2026-04-09 09:53:39
47641615,Sopwith – 1984 Game (2000),sports,99,42,elvis70,2026-04-09 09:53:41
